race_id,driver_id,quali_pos,avg_fp_longrun_delta,constructor_form,driver_form,circuit_effect,weather_risk,points
2024_1_bahrain,max_verstappen,1,0.0,0.0,0.0,0.0,0.0,26.0
2024_1_bahrain,perez,5,0.0,26.0,0.0,0.0,0.0,18.0
2024_1_bahrain,sainz,4,0.0,0.0,0.0,0.0,0.0,15.0
2024_1_bahrain,leclerc,2,0.0,15.0,0.0,0.0,0.0,12.0
2024_1_bahrain,russell,3,0.0,0.0,0.0,0.0,0.0,10.0
2024_1_bahrain,norris,7,0.0,0.0,0.0,0.0,0.0,8.0
2024_1_bahrain,hamilton,9,0.0,10.0,0.0,0.0,0.0,6.0
2024_1_bahrain,piastri,8,0.0,8.0,0.0,0.0,0.0,4.0
2024_1_bahrain,alonso,6,0.0,0.0,0.0,0.0,0.0,2.0
2024_1_bahrain,stroll,12,0.0,2.0,0.0,0.0,0.0,1.0
2024_1_bahrain,zhou,17,0.0,0.0,0.0,0.0,0.0,0.0
2024_1_bahrain,kevin_magnussen,15,0.0,0.0,0.0,0.0,0.0,0.0
2024_1_bahrain,ricciardo,14,0.0,0.0,0.0,0.0,0.0,0.0
2024_1_bahrain,tsunoda,11,0.0,0.0,0.0,0.0,0.0,0.0
2024_1_bahrain,albon,13,0.0,0.0,0.0,0.0,0.0,0.0
2024_1_bahrain,hulkenberg,10,0.0,0.0,0.0,0.0,0.0,0.0
2024_1_bahrain,ocon,19,0.0,0.0,0.0,0.0,0.0,0.0
2024_1_bahrain,gasly,20,0.0,0.0,0.0,0.0,0.0,0.0
2024_1_bahrain,bottas,16,0.0,0.0,0.0,0.0,0.0,0.0
2024_1_bahrain,sargeant,18,0.0,0.0,0.0,0.0,0.0,0.0
2024_2_jeddah,max_verstappen,1,0.0,22.0,26.0,0.0,0.0,25.0
2024_2_jeddah,perez,3,0.0,23.0,18.0,0.0,0.0,18.0
2024_2_jeddah,leclerc,2,0.0,13.5,12.0,0.0,0.0,16.0
2024_2_jeddah,piastri,5,0.0,6.0,4.0,0.0,0.0,12.0
2024_2_jeddah,alonso,4,0.0,1.5,2.0,0.0,0.0,10.0
2024_2_jeddah,russell,7,0.0,8.0,10.0,0.0,0.0,8.0
2024_2_jeddah,bearman,11,0.0,14.333,0.0,0.0,0.0,6.0
2024_2_jeddah,norris,6,0.0,8.0,8.0,0.0,0.0,4.0
2024_2_jeddah,hamilton,8,0.0,8.0,6.0,0.0,0.0,2.0
2024_2_jeddah,hulkenberg,15,0.0,0.0,0.0,0.0,0.0,1.0
2023_1_bahrain,max_verstappen,1,0.0,20.333,25.5,26.0,0.0,25.0
2023_1_bahrain,perez,2,0.0,22.667,18.0,18.0,0.0,18.0
2023_1_bahrain,alonso,5,0.0,4.333,6.0,2.0,0.0,15.0
2023_1_bahrain,sainz,4,0.0,11.333,15.0,15.0,0.0,12.0
2023_1_bahrain,hamilton,7,0.0,5.333,4.0,6.0,0.0,10.0
2023_1_bahrain,stroll,8,0.0,8.667,1.0,1.0,0.0,8.0
2023_1_bahrain,russell,6,0.0,6.667,9.0,10.0,0.0,6.0
2023_1_bahrain,bottas,12,0.0,0.0,0.0,0.0,0.0,4.0
2023_1_bahrain,gasly,20,0.0,0.0,0.0,0.0,0.0,2.0
